NSGAIIIHOP
seed 0 [0.2867759527133, 0.0253696619482, 0.0079705415787, 0.0204491724372, 0.0287898497676, 0.0950250058234, 0.1106267526790, 0.0244863187013, 0.0229033024868, 0.0179143629181, 0.1989159293084, 0.2103658605146]
seed 1 [0.1024436568464, 0.0090241929080, 0.0069166675107, 0.0470527314760, 0.0282610413755, 0.0423868329331, 0.0402409979045, 0.0474054921999, 0.0228573893364, 0.0091729398905, 0.0260720742475, 0.1445586963944]
seed 2 [0.2261708483775, 0.0184796912541, 0.0187034339818, 0.1462196852737, 0.2244841447195, 0.2120844496051, 0.2031060036774, 0.0623754865227, 0.1968269859701, 0.0503942805360, 0.0520021041777, 0.4943190962099]
seed 3 [0.1948072618210, 0.0037691407732, 0.0071525236846, 0.0082652870196, 0.1623381419244, 0.1307050730654, 0.1029174566504, 0.1186943071868, 0.1381867797054, 0.1098278825295, 0.1353383216597, 0.3774290950119]
seed 4 [0.2445294819358, 0.0063807046122, 0.0206815390392, 0.0200365112837, 0.0565859097446, 0.3095190490646, 0.0455043451090, 0.2010863433687, 0.0300615707069, 0.0328121241619, 0.0403216688888, 0.0961370563947]
seed 5 [0.2318693708413, 0.0268595401788, 0.0047616429224, 0.0118268169992, 0.0235393146309, 0.0263710382875, 0.0255811993058, 0.0262563653666, 0.0966532379810, 0.1386649444027, 0.0924546366113, 0.1343550401830]
seed 6 [0.2698606104215, 0.0254573622810, 0.0206093830348, 0.0390790446863, 0.4067055042485, 0.0639042556263, 0.0790042670872, 0.0730899121251, 0.0608563715480, 0.0679265328490, 0.0709106549874, 0.1276774879015]
seed 7 [0.1819430935572, 0.0096792686509, 0.0042892347814, 0.0168423572180, 0.0231586444024, 0.0550681601931, 0.1796455597369, 0.0154854362754, 0.0240022355202, 0.1473942370134, 0.1300399062016, 0.1195742266226]
seed 8 [0.0862716850989, 0.0218664371653, 0.0109697505474, 0.0101919528871, 0.0257193722135, 0.0306666257162, 0.0281152706054, 0.1103758018966, 0.0891128676411, 0.1176376471180, 0.0166545503640, 2.5034233146931]
seed 9 [0.2488053826122, 0.0233873460699, 0.1906140961819, 0.0144828833105, 0.0176410548334, 0.0204891133637, 0.0898520600996, 0.0893713639600, 0.0350000101236, 0.0445411843557, 0.0348997232902, 0.1521018230366]

NSGAIII
seed 0 [0.2998453285731, 0.0683498833357, 0.0229305084202, 0.0196051846324, 0.2934152245745, 0.3134266809436, 0.1088793341379, 0.0913421490480, 0.0157880362585, 0.0151396440889, 0.0394551533690, 0.0890870200598]
seed 1 [0.2999742523152, 0.0587241115554, 0.0172427217846, 0.0164132636100, 0.0352157738584, 0.1059661694578, 0.1094910868626, 0.0156975584103, 0.1656746061796, 0.1656796047174, 0.0390601048312, 0.1723997368480]
seed 2 [0.2997660342503, 0.1732718887159, 0.0389854583967, 0.0452236583651, 0.0502552711210, 0.2684208348016, 0.2675161312731, 0.0560807632667, 0.0292422927486, 0.2560276259778, 0.0144087679132, 0.1843805334199]
seed 3 [0.2986513905122, 0.0607744829259, 0.1388004069701, 0.1313260980812, 0.0978536500299, 0.1038677240186, 0.1562488183392, 0.1626946107163, 0.0769342565330, 0.1060527320558, 0.0613582999829, 0.0513507987281]
seed 4 [0.2992230608781, 0.0593373322337, 0.0166742920782, 0.0324900143956, 0.0353859129423, 0.1274789287818, 0.1665862881450, 0.1022730886255, 0.0083622228740, 0.1689867601036, 0.0356924069624, 0.0494468295741]
seed 5 [0.2998321456902, 0.1039783063268, 0.0550325071621, 0.0566942957791, 0.0666279262956, 0.2612924906334, 0.0351278373520, 0.0280156661300, 0.0956948247427, 0.0142288919689, 0.1097706493067, 0.0522756866197]
seed 6 [0.2995932911845, 0.0515438805987, 0.0170316518246, 0.0217473596763, 0.0251404384359, 0.6366043820774, 0.0452860520532, 0.1696910780556, 0.0041843270051, 0.0114774348315, 0.0754737713170, 0.1097494205469]
seed 7 [0.2997767899015, 0.0545765123837, 0.0231461682103, 0.0259499957973, 0.0277249123069, 0.2076887740400, 0.1977877050837, 0.1110906769529, 0.1174736860261, 0.0312753187897, 0.0253460870081, 0.0910302414184]
seed 8 [0.2999966978164, 0.0778197020083, 0.0447938519934, 0.0487151798236, 0.0658162992326, 0.0390751152940, 0.1722429719817, 0.0975924808474, 0.0119134375799, 0.0263781029913, 0.0329019903627, 0.1070467516561]
seed 9 [0.2993934157435, 0.1112565444048, 0.0265753744696, 0.1856497561510, 0.0512527456450, 0.0742466468953, 0.0578590540899, 0.0555812220243, 0.1053162492305, 0.1099554799482, 0.3086168232382, 0.3076232024462]


SMSEMOA
seed 100 [0.2999519326513, 0.0500171246281, 0.0019791331907, 0.0044735414568, 0.0193258802823, 0.0286885637922, 0.0221481930547, 0.0167454878316, 0.0587970489128, 0.0383390680464, 0.0491473443964, 0.9902816386869]
seed 101 [0.2988745169261, 0.0330435793032, 0.0018640628757, 0.0168468713877, 0.1462448222127, 0.1366942632594, 0.2914166268555, 0.1711171943465, 0.0991750155222, 0.0960033559374, 0.0488222471040, 0.0681395869506]
seed 102 [0.2998819426178, 0.0623823291950, 0.0311759596804, 0.0354060188165, 0.0388073332488, 0.2137067823709, 0.2317551837433, 0.0519661598187, 0.0609072535378, 0.0553227377262, 0.0693779275001, 0.1338827579070]
seed 103 [0.2994661925936, 0.0411023303315, 0.0007154775113, 0.0392477759207, 0.1209275441490, 0.1432870793998, 0.1489064803244, 0.0456094805736, 0.0450171181311, 0.0594740025395, 0.1249205195738, 0.1489861302464]
